"date","campaign_id","channel","impressions","clicks","spend","spend_estimated","conversions","revenue"
"2025-06-09","CMP-1000","Paid Search",2382,81,87.3,False,2,294.74
"2025-07-29","CMP-1000","Paid Search",1867,99,200.23,False,1,72.43
"2025-07-17","CMP-1000","Paid Search",2751,125,308.59,False,14,1004.73
"2025-04-24","CMP-1000","Paid Search",2405,70,150.64,False,7,878.59
"2025-04-27","CMP-1000","Paid Search",1649,56,137.49,False,5,248.92
"2025-04-18","CMP-1000","Paid Search",2198,135,166.38,True,5,770.45
"2025-05-12","CMP-1000","Paid Search",2508,122,232.21,False,8,553.52
"2025-08-12","CMP-1000","Paid Search",2338,157,228.89,False,4,425.6
"2025-06-03","CMP-1000","Paid Search",2673,118,112.45,False,6,671.91
"2025-07-06","CMP-1000","Paid Search",2416,69,163.31,False,0,0.0
"2025-06-11","CMP-1000","Paid Search",2467,166,166.43,False,10,737.85
"2025-04-07","CMP-1000","Paid Search",2983,121,255.64,False,7,526.51
"2025-08-08","CMP-1000","Paid Search",1933,73,189.35,False,4,413.94
"2025-03-30","CMP-1000","Paid Search",1947,60,65.58,False,5,612.09
"2025-05-05","CMP-1000","Paid Search",2389,109,259.03,False,10,937.26
"2025-07-11","CMP-1000","Paid Search",2994,163,302.51,False,6,431.98
"2025-02-26","CMP-1000","Paid Search",1659,71,147.3,False,2,171.76
"2025-08-11","CMP-1000","Paid Search",2042,121,124.75,False,8,890.63
"2025-03-11","CMP-1000","Paid Search",2433,60,129.27,False,5,440.3
"2025-04-19","CMP-1000","Paid Search",1983,51,56.04,False,2,150.38
"2025-05-09","CMP-1000","Paid Search",2516,85,111.95,False,2,216.28
"2025-04-26","CMP-1000","Paid Search",1991,51,75.98,False,1,112.25
"2025-07-27","CMP-1000","Paid Search",2130,125,144.41,False,8,593.93
"2025-04-29","CMP-1000","Paid Search",2383,106,101.99,False,6,651.19
"2025-04-22","CMP-1000","Paid Search",2700,165,245.47,False,4,624.39
"2025-02-15","CMP-1000","Paid Search",1966,82,149.45,False,2,267.2
"2025-05-03","CMP-1000","Paid Search",1614,89,124.45,False,4,590.1
"2025-06-24","CMP-1000","Paid Search",3297,162,154.17,False,11,887.97
"2025-02-16","CMP-1000","Paid Search",1515,66,138.71,False,2,190.74
"2025-05-18","CMP-1000","Paid Search",1947,86,136.16,False,11,1470.62
"2025-07-19","CMP-1000","Paid Search",1746,31,61.67,False,2,125.81
"2025-03-06","CMP-1000","Paid Search",2750,163,370.97,False,14,1449.04
"2025-04-09","CMP-1000","Paid Search",3000,168,176.02,False,18,1874.22
"2025-04-06","CMP-1000","Paid Search",1990,80,100.47,False,4,275.63
"2025-08-01","CMP-1000","Paid Search",2532,108,176.53,False,14,987.17
"2025-06-23","CMP-1000","Paid Search",2416,90,108.1,False,10,1203.43
"2025-03-08","CMP-1000","Paid Search",1939,52,119.52,False,2,235.06
"2025-06-01","CMP-1000","Paid Search",1197,38,85.54,False,0,0.0
"2025-08-03","CMP-1000","Paid Search",1986,72,153.97,False,3,347.28
"2025-06-22","CMP-1000","Paid Search",2375,107,152.31,False,5,732.29
"2025-06-12","CMP-1000","Paid Search",2518,92,169.66,False,9,1335.4
"2025-07-24","CMP-1000","Paid Search",1889,71,165.81,False,2,155.9
"2025-04-04","CMP-1000","Paid Search",3153,132,127.97,False,4,247.11
"2025-06-28","CMP-1000","Paid Search",1418,26,39.9,False,2,213.77
"2025-05-16","CMP-1000","Paid Search",1719,89,185.45,False,3,232.8
"2025-07-12","CMP-1000","Paid Search",2218,92,207.21,False,8,1039.32
"2025-03-12","CMP-1000","Paid Search",2826,102,99.78,False,2,235.85
"2025-07-10","CMP-1000","Paid Search",2728,116,168.36,False,17,1687.84
"2025-06-05","CMP-1000","Paid Search",2457,99,171.84,False,4,461.49
"2025-08-14","CMP-1000","Paid Search",3082,190,279.05,False,9,813.33
"2025-05-15","CMP-1000","Paid Search",1853,127,300.42,False,8,548.34
"2025-02-24","CMP-1000","Paid Search",2221,103,265.29,False,9,629.34
"2025-05-19","CMP-1000","Paid Search",2117,129,168.46,False,5,384.84
"2025-07-03","CMP-1000","Paid Search",2052,83,210.57,False,7,440.97
"2025-03-29","CMP-1000","Paid Search",1692,90,118.84,False,7,748.64
"2025-05-20","CMP-1000","Paid Search",1500,49,123.23,False,7,667.16
"2025-08-10","CMP-1000","Paid Search",1554,104,196.14,False,10,1356.47
"2025-03-13","CMP-1000","Paid Search",1765,84,163.54,False,3,334.52
"2025-05-04","CMP-1000","Paid Search",1340,51,69.14,False,2,223.08
"2025-05-11","CMP-1000","Paid Search",2083,79,168.9,False,6,476.01
"2025-07-18","CMP-1000","Paid Search",1255,56,56.89,False,7,697.28
"2025-06-14","CMP-1000","Paid Search",1576,102,263.06,False,4,474.95
"2025-03-05","CMP-1000","Paid Search",1918,69,178.23,False,6,633.78
"2025-03-01","CMP-1000","Paid Search",1780,52,67.77,False,4,469.75
"2025-05-31","CMP-1000","Paid Search",1552,81,75.95,False,6,547.96
"2025-03-31","CMP-1000","Paid Search",2372,139,220.44,False,11,963.39
"2025-06-08","CMP-1000","Paid Search",1657,77,80.8,False,1,90.96
"2025-03-19","CMP-1000","Paid Search",2189,99,185.61,False,3,313.05
"2025-05-22","CMP-1000","Paid Search",2531,106,270.03,False,10,681.85
"2025-07-25","CMP-1000","Paid Search",2230,148,248.8,False,14,1756.98
"2025-05-30","CMP-1000","Paid Search",2374,114,239.84,False,5,509.97
"2025-07-09","CMP-1000","Paid Search",2060,70,71.26,False,4,315.84
"2025-02-28","CMP-1000","Paid Search",2517,110,129.22,False,1,73.89
"2025-05-28","CMP-1000","Paid Search",2474,139,192.93,False,9,730.43
"2025-05-25","CMP-1000","Paid Search",1565,87,149.38,False,5,590.81
"2025-02-22","CMP-1000","Paid Search",1619,76,135.43,False,7,1093.61
"2025-02-19","CMP-1000","Paid Search",1713,98,129.73,False,6,376.38
"2025-07-28","CMP-1000","Paid Search",2399,96,88.38,False,2,220.24
"2025-05-13","CMP-1000","Paid Search",2270,114,271.78,False,9,1102.68
"2025-03-16","CMP-1000","Paid Search",1543,77,151.63,False,6,524.17
"2025-06-27","CMP-1000","Paid Search",2836,112,101.9,False,3,296.96
