order_id,customer_id,order_date,acquisition_channel,order_amount
ORD-000001,CUST-00001,2025-08-13,Paid Search,79.65
ORD-000002,CUST-00001,2025-08-20,Paid Search,146.59
ORD-000003,CUST-00001,2025-12-14,Paid Search,96.82
ORD-000004,CUST-00001,2025-09-08,Paid Search,121.61
ORD-000005,CUST-00001,2025-11-03,Paid Search,132.31
ORD-000006,CUST-00002,2025-08-14,Organic Social,60.32
ORD-000007,CUST-00002,2025-09-30,Organic Social,43.93
ORD-000008,CUST-00002,2025-08-22,Organic Social,81.4
ORD-000009,CUST-00003,2025-02-08,Affiliate,51.0
ORD-000010,CUST-00003,2025-02-18,Affiliate,200.05
ORD-000011,CUST-00003,2025-08-07,Affiliate,121.76
ORD-000012,CUST-00004,2025-07-18,Paid Social,115.31
ORD-000013,CUST-00004,2025-08-01,Paid Social,48.14
ORD-000014,CUST-00004,2025-08-23,Paid Social,85.09
ORD-000015,CUST-00005,2025-08-28,Paid Search,143.21
ORD-000016,CUST-00005,2025-10-20,Paid Search,74.99
ORD-000017,CUST-00006,2025-04-15,Organic Social,57.06
ORD-000018,CUST-00006,2025-05-07,Organic Social,63.76
ORD-000019,CUST-00006,2025-05-29,Organic Social,68.55
ORD-000020,CUST-00006,2025-06-02,Organic Social,80.8
ORD-000021,CUST-00006,2025-09-13,Organic Social,80.83
ORD-000022,CUST-00006,2025-08-10,Organic Social,52.93
ORD-000023,CUST-00007,2025-10-05,Paid Search,123.41
ORD-000024,CUST-00007,2025-11-03,Paid Search,132.77
ORD-000025,CUST-00008,2025-08-02,Paid Social,85.47
ORD-000026,CUST-00008,2025-09-06,Paid Social,86.55
ORD-000027,CUST-00009,2025-01-05,Paid Search,96.77
ORD-000028,CUST-00009,2025-03-10,Paid Search,87.98
ORD-000029,CUST-00010,2025-08-12,Organic Social,83.3
ORD-000030,CUST-00010,2025-10-10,Organic Social,68.5
ORD-000031,CUST-00011,2025-01-03,Email,124.07
ORD-000032,CUST-00011,2025-03-13,Email,100.57
ORD-000033,CUST-00011,2025-04-12,Email,49.21
ORD-000034,CUST-00011,2025-01-27,Email,105.16
ORD-000035,CUST-00011,2025-11-24,Email,85.77
ORD-000036,CUST-00012,2025-02-16,Paid Social,50.26
ORD-000037,CUST-00012,2025-03-17,Paid Social,125.45
ORD-000038,CUST-00012,2025-05-06,Paid Social,44.2
ORD-000039,CUST-00012,2025-03-26,Paid Social,114.57
ORD-000040,CUST-00013,2025-06-18,Paid Search,96.33
ORD-000041,CUST-00013,2025-08-18,Paid Search,94.87
ORD-000042,CUST-00013,2025-07-11,Paid Search,57.4
ORD-000043,CUST-00014,2025-05-20,Paid Social,89.71
ORD-000044,CUST-00014,2025-06-09,Paid Social,52.01
ORD-000045,CUST-00014,2025-08-19,Paid Social,78.1
ORD-000046,CUST-00014,2025-07-28,Paid Social,65.45
ORD-000047,CUST-00015,2025-03-25,Paid Search,90.45
ORD-000048,CUST-00015,2025-03-26,Paid Search,79.84
ORD-000049,CUST-00016,2025-05-19,Affiliate,46.05
ORD-000050,CUST-00016,2025-06-14,Affiliate,72.47
ORD-000051,CUST-00017,2025-10-03,Paid Social,109.7
ORD-000052,CUST-00017,2025-10-16,Paid Social,59.17
ORD-000053,CUST-00018,2025-02-06,Display,77.2
ORD-000054,CUST-00018,2025-02-08,Display,75.5
ORD-000055,CUST-00018,2025-05-13,Display,89.21
ORD-000056,CUST-00018,2025-02-10,Display,85.84
ORD-000057,CUST-00019,2025-08-19,Paid Search,61.45
ORD-000058,CUST-00019,2025-10-19,Paid Search,120.4
ORD-000059,CUST-00020,2025-07-30,Paid Social,68.34
ORD-000060,CUST-00020,2025-08-09,Paid Social,67.28
ORD-000061,CUST-00020,2025-08-03,Paid Social,94.54
ORD-000062,CUST-00021,2025-10-26,Paid Search,93.21
ORD-000063,CUST-00021,2025-11-15,Paid Search,87.12
ORD-000064,CUST-00022,2025-09-07,Affiliate,117.02
ORD-000065,CUST-00022,2025-10-19,Affiliate,140.45
ORD-000066,CUST-00023,2025-10-11,Affiliate,119.34
ORD-000067,CUST-00023,2025-10-13,Affiliate,141.16
ORD-000068,CUST-00023,2025-12-31,Affiliate,68.38
ORD-000069,CUST-00024,2025-08-20,Paid Search,76.65
ORD-000070,CUST-00024,2025-09-25,Paid Search,87.22
ORD-000071,CUST-00024,2025-10-28,Paid Search,60.74
ORD-000072,CUST-00024,2025-09-04,Paid Search,56.49
ORD-000073,CUST-00024,2025-09-07,Paid Search,68.88
ORD-000074,CUST-00025,2025-04-10,Paid Search,96.4
ORD-000075,CUST-00025,2025-04-25,Paid Search,134.46
ORD-000076,CUST-00025,2025-05-28,Paid Search,98.62
ORD-000077,CUST-00026,2025-10-19,Affiliate,86.34
ORD-000078,CUST-00026,2025-12-14,Affiliate,70.06
ORD-000079,CUST-00026,2025-12-11,Affiliate,97.0
ORD-000080,CUST-00027,2025-07-06,Paid Search,79.43
ORD-000081,CUST-00027,2025-08-05,Paid Search,123.01
ORD-000082,CUST-00027,2025-10-11,Paid Search,77.21
ORD-000083,CUST-00027,2025-08-20,Paid Search,129.75
ORD-000084,CUST-00028,2025-03-20,Email,59.39
ORD-000085,CUST-00028,2025-03-25,Email,92.11
ORD-000086,CUST-00028,2025-06-14,Email,60.19
ORD-000087,CUST-00029,2025-01-08,Email,97.48
ORD-000088,CUST-00030,2025-09-12,Paid Search,126.92
ORD-000089,CUST-00030,2025-09-17,Paid Search,69.61
ORD-000090,CUST-00031,2025-09-17,Email,101.39
ORD-000091,CUST-00031,2025-10-23,Email,80.18
ORD-000092,CUST-00032,2025-07-22,Paid Social,82.63
