date,campaign_id,channel,impressions,clicks,spend,conversions,revenue
2025-09-21,CMP-1003,Paid Search,1005,56,60.1,2,213.14
2025-06-25,CMP-1017,Affiliate,630,8,5.55,0,0.0
2025-07-08,CMP-1002,Paid Search,825,47,59.05,5,426.05
2025-05-17,CMP-1002,Paid Search,996,34,45.62,1,73.28
2025-07-17,CMP-1006,Paid Social,1541,17,11.17,0,0.0
2025-03-04,CMP-1006,Paid Social,1800,23,33.9,0,0.0
2025-03-30,CMP-1010,Email,663,15,2.08,0,0.0
2025-06-23,CMP-1016,Affiliate,734,14,8.98,0,0.0
2025-04-08,CMP-1012,Display,5272,25,18.27,0,0.0
2025-06-13,CMP-1006,Paid Social,2270,28,45.44,0,0.0
2025-02-25,CMP-1002,Paid Search,1235,26,31.97,3,418.81
2025-05-03,CMP-1010,Email,809,23,2.84,1,107.38
2025-05-30,CMP-1019,Organic Social,3460,53,0.0,0,0.0
2025-11-15,CMP-1008,Email,1541,50,4.93,6,751.94
2025-03-12,CMP-1019,Organic Social,3587,52,,1,76.99
2025-04-08,CMP-1015,Affiliate,7089,175,173.52,4,548.77
2025-06-22,CMP-1009,Email ,956,38,5.59,0,0.0
2025-05-05,CMP-1018,Organic Social,3177,79,0.0,1,63.0
2025-04-06,CMP-1019,Organic Social,2138,67,0.0,1,109.23
2025-03-23,CMP-1017,Affiliate,428,8,3.27,1,135.74
2025-08-17,CMP-1019,Organic Social,2392,50,0.0,2,85.25
2025-05-15,CMP-1009,Email,1089,30,5.11,3,205.65
2025-07-07,CMP-1017,Affiliate,873,26,23.53,1,63.18
2025-11-22,CMP-1004,Paid Social,1798,13,16.48,1,124.91
2025-04-15,CMP-1005,Paid Social,7278,55,30.81,1,45.32
2025-04-20,CMP-1003,Paid Search,1142,49,51.44,2,196.94
2025-08-15,CMP-1019,Organic Social,3688,67,,0,0.0
2025-04-18,CMP-1006,Paid Social,2186,33,18.73,0,0.0
2025-04-09,CMP-1007,Paid Social,3428,43,45.11,2,209.0
2025-04-21,CMP-1001,Paid Search,4568,252,581.31,22,1922.41
2025-10-31,CMP-1004,Paid Social,2063,8,5.96,0,0.0
2025-03-14,CMP-1011,Email,2828,68,7.78,8,486.73
2025-08-21,CMP-1020,Organic Social,4247,84,0.0,1,99.42
2025-10-31,CMP-1008,Email,1208,38,2.07,6,764.06
2025-01-17,CMP-1018,Organic Social,3527,62,0.0,3,263.46
2025-04-14,CMP-1008,Email,1096,17,3.33,1,126.25
2025-05-28,CMP-1018,organic social,3783,48,0.0,2,155.56
2025-06-05,CMP-1016,Affiliate,544,6,5.75,0,0.0
2025-03-27,CMP-1011,Email,3903,137,15.87,6,748.11
2025-08-15,CMP-1003,Paid Search,1405,77,83.15,7,883.19
2025-02-07,CMP-1012,Display,6391,45,38.49,1,120.86
2025-05-04,CMP-1004,Paid Social,1570,29,28.48,0,0.0
2025-03-12,CMP-1016,Affiliate,723,14,9.81,1,102.98
2025-09-27,CMP-1017,Affiliate,628,9,4.13,0,0.0
2025-07-29,CMP-1014,Display,1141,5,2.62,1,87.75
2025-02-21,CMP-1000,Paid Search,2195,89,210.33,4,303.78
2025-06-04,CMP-1004,Paid Social,1746,29,17.89,0,0.0
2025-04-12,CMP-1003,Paid-Search,1106,50,84.53,6,516.49
2025-02-25,CMP-1017,Affiliate,822,29,23.62,2,174.94
2025-03-21,CMP-1005,Paid Social,7534,127,188.3,2,164.33
2025-07-28,CMP-1000,Paid Search,2399,96,88.38,2,220.24
2025-04-26,CMP-1008,Email,899,35,5.26,3,368.54
2025-01-30,CMP-1016,Affiliate,625,15,16.8,2,144.45
2025-07-11,CMP-1000,Paid Search,2994,163,302.51,6,431.98
2025-07-13,CMP-1020,Organic Social,2529,54,0.0,1,86.76
2025-07-25,CMP-1006,Paid Social,1552,16,26.3,0,0.0
2025-03-13,CMP-1007,paid_social,3671,40,32.62,0,0.0
2025-05-20,CMP-1020,Organic Social,4219,94,0.0,4,336.78
2025-04-10,CMP-1001,Paid Search,3156,190,217.06,6,401.24
2025-09-03,CMP-1016,Affiliate,786,7,4.11,1,116.32
2025-06-18,CMP-1020,Organic Social,4243,67,0.0,0,0.0
2025-09-11,CMP-1008,Email,1443,54,7.66,3,371.24
2025-03-23,CMP-1011,Email,3178,94,18.3,6,660.09
2025-02-23,CMP-1002,Paid Search,731,25,33.12,2,198.59
2025-06-20,CMP-1004,Paid Social,1755,15,16.05,0,0.0
2025-09-08,CMP-1016,Affiliate,737,11,11.97,0,0.0
2025-05-10,CMP-1014,Display,1165,12,8.89,0,0.0
2025-06-12,CMP-1019,Organic Social,3787,65,0.0,1,94.33
2025-07-31,CMP-1020,Organic Social,3886,86,0.0,3,259.6
2025-04-01,CMP-1015,Affiliate,6051,137,152.02,3,335.3
2025-05-11,CMP-1014,Display,1170,4,2.81,0,0.0
2025-03-31,CMP-1010,Email,1392,43,3.4,1,73.85
2025-05-29,CMP-1009,Email,842,14,2.26,1,81.9
2025-02-19,CMP-1007,Paid Social,3638,29,41.42,1,50.72
2025-05-28,CMP-1020,Organic Social,3064,75,0.0,1,51.36
2025-02-21,CMP-1007,Paid Social,2288,23,37.15,2,216.12
2025-05-22,CMP-1014,Display,1171,6,6.46,0,0.0
2025-05-15,CMP-1015,Affiliate,5986,113,129.68,6,455.41
2025-05-26,CMP-1006,Paid Social,2220,31,47.61,1,111.91
2025-04-05,CMP-1018,Organic Social,3843,52,0.0,2,145.37
2025-06-10,CMP-1010,Email,1205,35,6.65,4,410.23
2025-04-26,CMP-1019,Organic Social,3068,59,0.0,0,0.0
2025-04-10,CMP-1006,Paid Social,1712,8,7.44,0,0.0
2025-05-18,CMP-1008,Email,859,21,3.38,0,0.0
2025-03-02,CMP-1014,Display,1108,6,4.73,0,0.0
2025-04-27,CMP-1010,Email,933,38,2.94,1,134.5
2025-08-28,CMP-1016,Affiliate,1077,10,7.33,1,152.31
2025-04-23,CMP-1004,Paid Social,1166,10,5.97,0,0.0
2025-08-09,CMP-1000,Paid Search,1198,75,67.91,3,227.86
2025-05-15,CMP-1014,Display,1266,5,3.95,0,0.0
2025-03-07,CMP-1000,Paid Search,2897,134,142.01,6,625.55
